financial_year,council_area,sex,age_group,number_of_people
2021/22,Dundee City,Male,85-94,98
2021/22,Dundee City,Male,95 and Older,11
2021/22,East Ayrshire,Female,18-64,33
2021/22,East Ayrshire,Female,65-74,39
2021/22,East Ayrshire,Female,75-84,182
2021/22,East Ayrshire,Female,85-94,196
2021/22,East Ayrshire,Female,95 and Older,49
2021/22,East Ayrshire,Male,18-64,47
2021/22,East Ayrshire,Male,65-74,58
2021/22,East Ayrshire,Male,75-84,89
2021/22,East Ayrshire,Male,85-94,58
2021/22,East Ayrshire,Male,95 and Older,12
2021/22,East Dunbartonshire,Female,18-64,8
2021/22,East Dunbartonshire,Female,65-74,30
2021/22,East Dunbartonshire,Female,75-84,142
2021/22,East Dunbartonshire,Female,85-94,248
2021/22,East Dunbartonshire,Female,95 and Older,62
2021/22,East Dunbartonshire,Male,18-64,6
2021/22,East Dunbartonshire,Male,65-74,24
2021/22,East Dunbartonshire,Male,75-84,55
2021/22,East Dunbartonshire,Male,85-94,77
2021/22,East Dunbartonshire,Male,95 and Older,10
2021/22,East Lothian,Female,18-64,0
2021/22,East Lothian,Female,65-74,29
2021/22,East Lothian,Female,75-84,98
2021/22,East Lothian,Female,85-94,184
2021/22,East Lothian,Female,95 and Older,71
2021/22,East Lothian,Male,18-64,5
2021/22,East Lothian,Male,65-74,24
2021/22,East Lothian,Male,75-84,55
2021/22,East Lothian,Male,85-94,76
2021/22,East Lothian,Male,95 and Older,18
2021/22,East Renfrewshire,Female,18-64,7
2021/22,East Renfrewshire,Female,65-74,15
2021/22,East Renfrewshire,Female,75-84,112
2021/22,East Renfrewshire,Female,85-94,179
2021/22,East Renfrewshire,Female,95 and Older,51
2021/22,East Renfrewshire,Male,18-64,0
2021/22,East Renfrewshire,Male,65-74,20
2021/22,East Renfrewshire,Male,75-84,51
2021/22,East Renfrewshire,Male,85-94,48
2021/22,East Renfrewshire,Male,95 and Older,5
2021/22,Falkirk,Female,18-64,52
2021/22,Falkirk,Female,65-74,51
2021/22,Falkirk,Female,75-84,202
2021/22,Falkirk,Female,85-94,254
2021/22,Falkirk,Female,95 and Older,51
2021/22,Falkirk,Male,18-64,69
2021/22,Falkirk,Male,65-74,39
2021/22,Falkirk,Male,75-84,78
2021/22,Falkirk,Male,85-94,87
2021/22,Falkirk,Male,95 and Older,13
2021/22,Fife,Female,18-64,118
2021/22,Fife,Female,65-74,168
2021/22,Fife,Female,75-84,485
2021/22,Fife,Female,85-94,818
2021/22,Fife,Female,95 and Older,187
2021/22,Fife,Male,18-64,131
2021/22,Fife,Male,65-74,133
2021/22,Fife,Male,75-84,227
2021/22,Fife,Male,85-94,229
2021/22,Fife,Male,95 and Older,21
2021/22,Glasgow City,Female,18-64,213
2021/22,Glasgow City,Female,65-74,261
2021/22,Glasgow City,Female,75-84,658
2021/22,Glasgow City,Female,85-94,920
2021/22,Glasgow City,Female,95 and Older,203
2021/22,Glasgow City,Male,18-64,386
2021/22,Glasgow City,Male,65-74,272
2021/22,Glasgow City,Male,75-84,424
2021/22,Glasgow City,Male,85-94,249
2021/22,Glasgow City,Male,95 and Older,38
2021/22,Highland,Female,18-64,102
2021/22,Highland,Female,65-74,83
2021/22,Highland,Female,75-84,314
2021/22,Highland,Female,85-94,503
2021/22,Highland,Female,95 and Older,132
2021/22,Highland,Male,18-64,121
2021/22,Highland,Male,65-74,78
2021/22,Highland,Male,75-84,165
2021/22,Highland,Male,85-94,177
2021/22,Highland,Male,95 and Older,36
2021/22,Inverclyde,Female,18-64,37
2021/22,Inverclyde,Female,75-84,131
2021/22,Inverclyde,Female,85-94,165
2021/22,Inverclyde,Male,18-64,45
2021/22,Inverclyde,Male,75-84,73
2021/22,Inverclyde,Male,85-94,58
2021/22,Midlothian,Female,18-64,38
2021/22,Midlothian,Female,65-74,44
2021/22,Midlothian,Female,75-84,89
2021/22,Midlothian,Female,85-94,118
2021/22,Midlothian,Female,95 and Older,24
2021/22,Midlothian,Male,18-64,30
2021/22,Midlothian,Male,65-74,24
2021/22,Midlothian,Male,75-84,49
2021/22,Midlothian,Male,85-94,30
2021/22,Midlothian,Male,95 and Older,8
2021/22,Moray,Female,18-64,9
2021/22,Moray,Female,65-74,31
2021/22,Moray,Female,75-84,121
2021/22,Moray,Female,85-94,152
2021/22,Moray,Female,95 and Older,47
2021/22,Moray,Male,18-64,7
2021/22,Moray,Male,65-74,25
2021/22,Moray,Male,75-84,56
2021/22,Moray,Male,85-94,56
2021/22,Moray,Male,95 and Older,7
2021/22,Na h-Eileanan Siar,Female,65-74,8
2021/22,Na h-Eileanan Siar,Female,75-84,39
2021/22,Na h-Eileanan Siar,Female,85-94,70
2021/22,Na h-Eileanan Siar,Male,65-74,14
2021/22,Na h-Eileanan Siar,Male,75-84,18
2021/22,Na h-Eileanan Siar,Male,85-94,10
2021/22,North Ayrshire,Female,18-64,27
2021/22,North Ayrshire,Female,65-74,43
2021/22,North Ayrshire,Female,75-84,184
2021/22,North Ayrshire,Female,85-94,239
2021/22,North Ayrshire,Female,95 and Older,51
2021/22,North Ayrshire,Male,18-64,47
2021/22,North Ayrshire,Male,65-74,53
2021/22,North Ayrshire,Male,75-84,84
2021/22,North Ayrshire,Male,85-94,63
2021/22,North Ayrshire,Male,95 and Older,6
2021/22,North Lanarkshire,Female,18-64,28
2021/22,North Lanarkshire,Female,65-74,91
2021/22,North Lanarkshire,Female,75-84,348
2021/22,North Lanarkshire,Female,85-94,426
2021/22,North Lanarkshire,Female,95 and Older,80
2021/22,North Lanarkshire,Male,18-64,59
2021/22,North Lanarkshire,Male,65-74,77
2021/22,North Lanarkshire,Male,75-84,158
2021/22,North Lanarkshire,Male,85-94,118
2021/22,North Lanarkshire,Male,95 and Older,15
2021/22,Orkney Islands,Female,75-84,16
2021/22,Orkney Islands,Female,85-94,41
2021/22,Orkney Islands,Male,75-84,9
2021/22,Orkney Islands,Male,85-94,8
2021/22,Perth and Kinross,Female,18-64,61
2021/22,Perth and Kinross,Female,65-74,70
2021/22,Perth and Kinross,Female,75-84,195
2021/22,Perth and Kinross,Female,85-94,382
2021/22,Perth and Kinross,Female,95 and Older,100
2021/22,Perth and Kinross,Male,18-64,96
2021/22,Perth and Kinross,Male,65-74,55
2021/22,Perth and Kinross,Male,75-84,117
2021/22,Perth and Kinross,Male,85-94,118
2021/22,Perth and Kinross,Male,95 and Older,20
2021/22,Renfrewshire,Female,18-64,46
2021/22,Renfrewshire,Female,65-74,76
2021/22,Renfrewshire,Female,75-84,235
2021/22,Renfrewshire,Female,85-94,331
2021/22,Renfrewshire,Female,95 and Older,53
2021/22,Renfrewshire,Male,18-64,50
2021/22,Renfrewshire,Male,65-74,83
2021/22,Renfrewshire,Male,75-84,135
2021/22,Renfrewshire,Male,85-94,108
2021/22,Renfrewshire,Male,95 and Older,10
2021/22,Scotland,Female,18-64,1406
2021/22,Scotland,Female,65-74,1873
2021/22,Scotland,Female,75-84,6297
2021/22,Scotland,Female,85-94,9789
2021/22,Scotland,Female,95 and Older,2316
2021/22,Scotland,Male,18-64,1920
2021/22,Scotland,Male,65-74,1727
2021/22,Scotland,Male,75-84,3219
2021/22,Scotland,Male,85-94,3019
2021/22,Scotland,Male,95 and Older,405
2021/22,Scottish Borders,Female,18-64,28
2021/22,Scottish Borders,Female,65-74,22
2021/22,Scottish Borders,Female,75-84,108
2021/22,Scottish Borders,Female,85-94,190
2021/22,Scottish Borders,Female,95 and Older,63
2021/22,Scottish Borders,Male,18-64,39
2021/22,Scottish Borders,Male,65-74,17
2021/22,Scottish Borders,Male,75-84,66
2021/22,Scottish Borders,Male,85-94,67
2021/22,Scottish Borders,Male,95 and Older,17
2021/22,Shetland Islands,Female,65-74,6
2021/22,Shetland Islands,Female,75-84,14
2021/22,Shetland Islands,Female,85-94,28
2021/22,Shetland Islands,Male,65-74,6
2021/22,Shetland Islands,Male,75-84,9
2021/22,Shetland Islands,Male,85-94,12
2021/22,South Ayrshire,Female,18-64,33
2021/22,South Ayrshire,Female,65-74,48
2021/22,South Ayrshire,Female,75-84,177
2021/22,South Ayrshire,Female,85-94,319
2021/22,South Ayrshire,Female,95 and Older,76
2021/22,South Ayrshire,Male,18-64,36
2021/22,South Ayrshire,Male,65-74,43
2021/22,South Ayrshire,Male,75-84,106
2021/22,South Ayrshire,Male,85-94,105
2021/22,South Ayrshire,Male,95 and Older,17
2021/22,South Lanarkshire,Female,18-64,77
2021/22,South Lanarkshire,Female,65-74,122
2021/22,South Lanarkshire,Female,75-84,410
2021/22,South Lanarkshire,Female,85-94,612
2021/22,South Lanarkshire,Female,95 and Older,149
2021/22,South Lanarkshire,Male,18-64,155
2021/22,South Lanarkshire,Male,65-74,130
2021/22,South Lanarkshire,Male,75-84,161
2021/22,South Lanarkshire,Male,85-94,184
2021/22,South Lanarkshire,Male,95 and Older,10
2021/22,Stirling,Female,18-64,42
2021/22,Stirling,Female,65-74,30
2021/22,Stirling,Female,75-84,58
2021/22,Stirling,Female,85-94,106
2021/22,Stirling,Female,95 and Older,31
2021/22,Stirling,Male,18-64,102
2021/22,Stirling,Male,65-74,31
2021/22,Stirling,Male,75-84,55
2021/22,Stirling,Male,85-94,43
2021/22,Stirling,Male,95 and Older,9
2021/22,West Dunbartonshire,Female,65-74,36
2021/22,West Dunbartonshire,Female,75-84,135
2021/22,West Dunbartonshire,Female,85-94,168
2021/22,West Dunbartonshire,Male,65-74,35
2021/22,West Dunbartonshire,Male,75-84,57
2021/22,West Dunbartonshire,Male,85-94,49
2021/22,West Lothian,Female,18-64,32
2021/22,West Lothian,Female,65-74,54
2021/22,West Lothian,Female,75-84,214
2021/22,West Lothian,Female,85-94,241
2021/22,West Lothian,Female,95 and Older,49
2021/22,West Lothian,Male,18-64,13
2021/22,West Lothian,Male,65-74,26
2021/22,West Lothian,Male,75-84,86
2021/22,West Lothian,Male,85-94,69
2021/22,West Lothian,Male,95 and Older,8
2022/23,Aberdeen City,Female,18-64,115
2022/23,Aberdeen City,Female,65-74,99
2022/23,Aberdeen City,Female,75-84,248
2022/23,Aberdeen City,Female,85-94,409
2022/23,Aberdeen City,Female,95 and Older,110
2022/23,Aberdeen City,Male,18-64,146
2022/23,Aberdeen City,Male,65-74,73
2022/23,Aberdeen City,Male,75-84,138
2022/23,Aberdeen City,Male,85-94,134
2022/23,Aberdeen City,Male,95 and Older,22
2022/23,Aberdeenshire,Female,18-64,74
2022/23,Aberdeenshire,Female,65-74,86
2022/23,Aberdeenshire,Female,75-84,319
2022/23,Aberdeenshire,Female,85-94,490
2022/23,Aberdeenshire,Female,95 and Older,115
2022/23,Aberdeenshire,Male,18-64,86
2022/23,Aberdeenshire,Male,65-74,76
2022/23,Aberdeenshire,Male,75-84,153
2022/23,Aberdeenshire,Male,85-94,192
2022/23,Aberdeenshire,Male,95 and Older,21
2022/23,Angus,Female,18-64,34
2022/23,Angus,Female,65-74,45
2022/23,Angus,Female,75-84,158
2022/23,Angus,Female,85-94,298
2022/23,Angus,Female,95 and Older,101
2022/23,Angus,Male,18-64,39
2022/23,Angus,Male,65-74,47
2022/23,Angus,Male,75-84,74
2022/23,Angus,Male,85-94,100
2022/23,Angus,Male,95 and Older,16
2022/23,Argyll and Bute,Female,75-84,94
2022/23,Argyll and Bute,Female,85-94,160
2022/23,Argyll and Bute,Female,95 and Older,19
2022/23,Argyll and Bute,Male,75-84,39
2022/23,Argyll and Bute,Male,85-94,52
2022/23,Argyll and Bute,Male,95 and Older,11
2022/23,City of Edinburgh,Female,18-64,60
2022/23,City of Edinburgh,Female,65-74,105
2022/23,City of Edinburgh,Female,75-84,467
2022/23,City of Edinburgh,Female,85-94,930
2022/23,City of Edinburgh,Female,95 and Older,237
2022/23,City of Edinburgh,Male,18-64,57
2022/23,City of Edinburgh,Male,65-74,106
2022/23,City of Edinburgh,Male,75-84,224
2022/23,City of Edinburgh,Male,85-94,302
2022/23,City of Edinburgh,Male,95 and Older,34
2022/23,Clackmannanshire,Female,18-64,30
2022/23,Clackmannanshire,Female,75-84,48
2022/23,Clackmannanshire,Female,85-94,71
2022/23,Clackmannanshire,Male,18-64,41
2022/23,Clackmannanshire,Male,75-84,27
2022/23,Clackmannanshire,Male,85-94,19
2022/23,Dumfries and Galloway,Female,18-64,13
2022/23,Dumfries and Galloway,Female,65-74,56
2022/23,Dumfries and Galloway,Female,75-84,178
2022/23,Dumfries and Galloway,Female,85-94,321
2022/23,Dumfries and Galloway,Female,95 and Older,56
2022/23,Dumfries and Galloway,Male,18-64,39
2022/23,Dumfries and Galloway,Male,65-74,46
2022/23,Dumfries and Galloway,Male,75-84,101
2022/23,Dumfries and Galloway,Male,85-94,123
2022/23,Dumfries and Galloway,Male,95 and Older,10
2022/23,Dundee City,Female,18-64,31
2022/23,Dundee City,Female,65-74,60
2022/23,Dundee City,Female,75-84,186
2022/23,Dundee City,Female,85-94,268
2022/23,Dundee City,Female,95 and Older,47
2022/23,Dundee City,Male,18-64,26
2022/23,Dundee City,Male,65-74,59
2022/23,Dundee City,Male,75-84,90
2022/23,Dundee City,Male,85-94,83
2022/23,Dundee City,Male,95 and Older,9
2022/23,East Ayrshire,Female,18-64,23
2022/23,East Ayrshire,Female,65-74,37
2022/23,East Ayrshire,Female,75-84,147
2022/23,East Ayrshire,Female,85-94,180
2022/23,East Ayrshire,Female,95 and Older,50
2022/23,East Ayrshire,Male,18-64,44
2022/23,East Ayrshire,Male,65-74,57
2022/23,East Ayrshire,Male,75-84,111
2022/23,East Ayrshire,Male,85-94,62
2022/23,East Ayrshire,Male,95 and Older,9
2022/23,East Dunbartonshire,Female,18-64,8
2022/23,East Dunbartonshire,Female,65-74,36
2022/23,East Dunbartonshire,Female,75-84,168
2022/23,East Dunbartonshire,Female,85-94,272
2022/23,East Dunbartonshire,Female,95 and Older,51
2022/23,East Dunbartonshire,Male,18-64,11
2022/23,East Dunbartonshire,Male,65-74,29
2022/23,East Dunbartonshire,Male,75-84,58
2022/23,East Dunbartonshire,Male,85-94,88
2022/23,East Dunbartonshire,Male,95 and Older,11
2022/23,East Lothian,Female,75-84,113
2022/23,East Lothian,Female,85-94,188
2022/23,East Lothian,Male,75-84,70
2022/23,East Lothian,Male,85-94,88
2022/23,East Renfrewshire,Female,75-84,110
2022/23,East Renfrewshire,Female,85-94,165
2022/23,East Renfrewshire,Male,75-84,44
2022/23,East Renfrewshire,Male,85-94,34
2022/23,Falkirk,Female,18-64,57
2022/23,Falkirk,Female,65-74,56
2022/23,Falkirk,Female,75-84,186
2022/23,Falkirk,Female,85-94,232
2022/23,Falkirk,Female,95 and Older,44
2022/23,Falkirk,Male,18-64,97
2022/23,Falkirk,Male,65-74,40
2022/23,Falkirk,Male,75-84,67
2022/23,Falkirk,Male,85-94,84
2022/23,Falkirk,Male,95 and Older,11
2022/23,Fife,Female,18-64,156
2022/23,Fife,Female,65-74,155
2022/23,Fife,Female,75-84,476
2022/23,Fife,Female,85-94,770
2022/23,Fife,Female,95 and Older,155
2022/23,Fife,Male,18-64,175
2022/23,Fife,Male,65-74,147
2022/23,Fife,Male,75-84,259
2022/23,Fife,Male,85-94,245
2022/23,Fife,Male,95 and Older,28
2022/23,Glasgow City,Female,18-64,207
2022/23,Glasgow City,Female,65-74,244
2022/23,Glasgow City,Female,75-84,632
2022/23,Glasgow City,Female,85-94,968
2022/23,Glasgow City,Female,95 and Older,188
2022/23,Glasgow City,Male,18-64,382
2022/23,Glasgow City,Male,65-74,313
2022/23,Glasgow City,Male,75-84,470
2022/23,Glasgow City,Male,85-94,274
2022/23,Glasgow City,Male,95 and Older,46
2022/23,Highland,Female,18-64,110
2022/23,Highland,Female,65-74,93
2022/23,Highland,Female,75-84,303
2022/23,Highland,Female,85-94,511
2022/23,Highland,Female,95 and Older,118
2022/23,Highland,Male,18-64,128
2022/23,Highland,Male,65-74,88
2022/23,Highland,Male,75-84,192
2022/23,Highland,Male,85-94,174
2022/23,Highland,Male,95 and Older,23
2022/23,Inverclyde,Female,18-64,29
2022/23,Inverclyde,Female,65-74,32
2022/23,Inverclyde,Female,75-84,138
2022/23,Inverclyde,Female,85-94,171
2022/23,Inverclyde,Female,95 and Older,36
2022/23,Inverclyde,Male,18-64,28
2022/23,Inverclyde,Male,65-74,45
2022/23,Inverclyde,Male,75-84,81
2022/23,Inverclyde,Male,85-94,56
2022/23,Inverclyde,Male,95 and Older,0
2022/23,Midlothian,Female,18-64,42
2022/23,Midlothian,Female,65-74,36
2022/23,Midlothian,Female,75-84,86
2022/23,Midlothian,Male,18-64,36
2022/23,Midlothian,Male,65-74,32
2022/23,Midlothian,Male,75-84,42
2022/23,Moray,Female,18-64,12
2022/23,Moray,Female,65-74,27
2022/23,Moray,Female,75-84,118
2022/23,Moray,Female,85-94,153
2022/23,Moray,Female,95 and Older,39
2022/23,Moray,Male,18-64,9
2022/23,Moray,Male,65-74,17
2022/23,Moray,Male,75-84,64
2022/23,Moray,Male,85-94,61
2022/23,Moray,Male,95 and Older,9
2022/23,Na h-Eileanan Siar,Female,18-64,5
2022/23,Na h-Eileanan Siar,Female,65-74,11
2022/23,Na h-Eileanan Siar,Female,75-84,34
2022/23,Na h-Eileanan Siar,Female,85-94,74
2022/23,Na h-Eileanan Siar,Female,95 and Older,11
2022/23,Na h-Eileanan Siar,Male,18-64,5
2022/23,Na h-Eileanan Siar,Male,65-74,16
2022/23,Na h-Eileanan Siar,Male,75-84,13
2022/23,Na h-Eileanan Siar,Male,85-94,14
2022/23,Na h-Eileanan Siar,Male,95 and Older,5
2022/23,North Ayrshire,Female,18-64,45
2022/23,North Ayrshire,Female,65-74,46
2022/23,North Ayrshire,Female,75-84,173
2022/23,North Ayrshire,Female,85-94,221
2022/23,North Ayrshire,Female,95 and Older,39
2022/23,North Ayrshire,Male,18-64,72
2022/23,North Ayrshire,Male,65-74,45
2022/23,North Ayrshire,Male,75-84,89
2022/23,North Ayrshire,Male,85-94,67
2022/23,North Ayrshire,Male,95 and Older,7
2022/23,North Lanarkshire,Female,18-64,21
2022/23,North Lanarkshire,Female,65-74,75
2022/23,North Lanarkshire,Female,75-84,330
2022/23,North Lanarkshire,Female,85-94,417
2022/23,North Lanarkshire,Female,95 and Older,77
2022/23,North Lanarkshire,Male,18-64,55
2022/23,North Lanarkshire,Male,65-74,69
2022/23,North Lanarkshire,Male,75-84,181
2022/23,North Lanarkshire,Male,85-94,130
2022/23,North Lanarkshire,Male,95 and Older,11
2022/23,Orkney Islands,Female,75-84,19
2022/23,Orkney Islands,Male,75-84,17
2022/23,Perth and Kinross,Female,18-64,70
2022/23,Perth and Kinross,Female,65-74,59
2022/23,Perth and Kinross,Female,75-84,210
2022/23,Perth and Kinross,Female,85-94,397
2022/23,Perth and Kinross,Female,95 and Older,96
2022/23,Perth and Kinross,Male,18-64,120
2022/23,Perth and Kinross,Male,65-74,55
2022/23,Perth and Kinross,Male,75-84,102
2022/23,Perth and Kinross,Male,85-94,113
2022/23,Perth and Kinross,Male,95 and Older,24
2022/23,Renfrewshire,Female,18-64,38
2022/23,Renfrewshire,Female,65-74,66
2022/23,Renfrewshire,Female,75-84,247
2022/23,Renfrewshire,Female,85-94,350
2022/23,Renfrewshire,Female,95 and Older,75
2022/23,Renfrewshire,Male,18-64,47
2022/23,Renfrewshire,Male,65-74,66
2022/23,Renfrewshire,Male,75-84,138
2022/23,Renfrewshire,Male,85-94,147
2022/23,Renfrewshire,Male,95 and Older,26
2022/23,Scotland,Female,18-64,1447
2022/23,Scotland,Female,65-74,1828
2022/23,Scotland,Female,75-84,6409
2022/23,Scotland,Female,85-94,9921
2022/23,Scotland,Female,95 and Older,2214
2022/23,Scotland,Male,18-64,2027
2022/23,Scotland,Male,65-74,1783
2022/23,Scotland,Male,75-84,3453
2022/23,Scotland,Male,85-94,3219
2022/23,Scotland,Male,95 and Older,417
2022/23,Scottish Borders,Female,18-64,29
2022/23,Scottish Borders,Female,65-74,33
2022/23,Scottish Borders,Female,75-84,123
2022/23,Scottish Borders,Female,85-94,213
2022/23,Scottish Borders,Female,95 and Older,55
2022/23,Scottish Borders,Male,18-64,35
2022/23,Scottish Borders,Male,65-74,20
2022/23,Scottish Borders,Male,75-84,68
2022/23,Scottish Borders,Male,85-94,64
2022/23,Scottish Borders,Male,95 and Older,12
2022/23,Shetland Islands,Female,75-84,14
2022/23,Shetland Islands,Female,85-94,30
2022/23,Shetland Islands,Male,75-84,11
2022/23,Shetland Islands,Male,85-94,8
2022/23,South Ayrshire,Female,18-64,39
2022/23,South Ayrshire,Female,65-74,63
2022/23,South Ayrshire,Female,75-84,215
2022/23,South Ayrshire,Female,85-94,327
2022/23,South Ayrshire,Female,95 and Older,76
2022/23,South Ayrshire,Male,18-64,27
2022/23,South Ayrshire,Male,65-74,41
2022/23,South Ayrshire,Male,75-84,98
2022/23,South Ayrshire,Male,85-94,122
2022/23,South Ayrshire,Male,95 and Older,10
2022/23,South Lanarkshire,Female,18-64,94
2022/23,South Lanarkshire,Female,65-74,118
2022/23,South Lanarkshire,Female,75-84,421
2022/23,South Lanarkshire,Female,85-94,608
2022/23,South Lanarkshire,Female,95 and Older,139
2022/23,South Lanarkshire,Male,18-64,148
2022/23,South Lanarkshire,Male,65-74,127
2022/23,South Lanarkshire,Male,75-84,200
2022/23,South Lanarkshire,Male,85-94,165
2022/23,South Lanarkshire,Male,95 and Older,22
2022/23,Stirling,Female,18-64,40
2022/23,Stirling,Female,65-74,38
2022/23,Stirling,Female,75-84,91
2022/23,Stirling,Female,85-94,141
2022/23,Stirling,Female,95 and Older,32
2022/23,Stirling,Male,18-64,97
2022/23,Stirling,Male,65-74,35
2022/23,Stirling,Male,75-84,59
2022/23,Stirling,Male,85-94,46
2022/23,Stirling,Male,95 and Older,10
2022/23,West Dunbartonshire,Female,18-64,25
2022/23,West Dunbartonshire,Female,65-74,32
2022/23,West Dunbartonshire,Female,75-84,134
2022/23,West Dunbartonshire,Female,85-94,182
2022/23,West Dunbartonshire,Female,95 and Older,28
2022/23,West Dunbartonshire,Male,18-64,28
2022/23,West Dunbartonshire,Male,65-74,42
2022/23,West Dunbartonshire,Male,75-84,73
2022/23,West Dunbartonshire,Male,85-94,53
2022/23,West Dunbartonshire,Male,95 and Older,0
2022/23,West Lothian,Female,18-64,30
2022/23,West Lothian,Female,65-74,54
2022/23,West Lothian,Female,75-84,221
2022/23,West Lothian,Female,85-94,249
2022/23,West Lothian,Female,95 and Older,43
2022/23,West Lothian,Male,18-64,27
2022/23,West Lothian,Male,65-74,29
2022/23,West Lothian,Male,75-84,104
2022/23,West Lothian,Male,85-94,75
2022/23,West Lothian,Male,95 and Older,6
